Cohort,Reef,Period,N.Assignment,N.juvenile,N.adult,N.sampled.adults,Ri
C1,Clam Bay,1,7,199,1262,200,23.99
C1,Egg Rock,1,11,199,599,165,23.16
C1,Halfway Is.,1,4,199,1027,154,14.42
C1,Middle Is.,1,6,199,748,132,18.65
C2,Clam Bay,1,6,172,1262,200,20.56
C2,Egg Rock,1,6,172,599,165,12.63
C2,Halfway Is.,1,5,172,1027,154,18.02
C2,Middle Is.,1,4,172,748,132,12.43
C3,Clam Bay,1,7,132,1262,200,23.99
C3,Egg Rock,1,3,132,599,165,6.32
C3,Halfway Is.,1,8,132,1027,154,28.84
C3,Middle Is.,1,1,132,748,132,3.11
C4,Clam Bay,2,8,112,2127,257,35.23
C4,Egg Rock,2,5,112,599,185,9.57
C4,Halfway Is.,2,5,112,1201,208,15.8
C4,Middle Is.,2,2,112,539,163,3.9
C5,Clam Bay,2,7,271,2127,257,30.83
C5,Egg Rock,2,13,271,599,185,24.89
C5,Halfway Is.,2,3,271,1201,208,9.48
C5,Middle Is.,2,3,271,539,163,5.84
C6,Clam Bay,2,5,90,2127,257,22.02
C6,Egg Rock,2,2,90,599,185,3.83
C6,Halfway Is.,2,1,90,1201,208,3.16
C6,Middle Is.,2,3,90,539,163,5.84
